,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
0,2016,Afghanistan,AFG,59770,123,1797551,0,114221,2.26031420130452
1,2017,Afghanistan,AFG,75927,215,1837079,0,448032,2.64700320195786
2,2018,Afghanistan,AFG,72228,281,2106893,0,489854,1.18922812838034
3,2019,Afghanistan,AFG,72227,247,2553390,0,447093,3.911603419423
4,2020,Afghanistan,AFG,72278,167,2886317,0,82595,-2.35110067344623
5,2021,Afghanistan,AFG,72226,187,3204805,0,84742,
6,2016,Albania,ALB,141,2750,0,4921,0,3.31498068405152
7,2017,Albania,ALB,124,32,0,4460,2719,3.80222740018748
8,2018,Albania,ALB,132,159,0,4160,76,4.01935968580831
9,2019,Albania,ALB,120,5,0,3687,153,2.11341998165848
10,2020,Albania,ALB,105,0,0,1031,10,-3.95539792669307
11,2021,Albania,ALB,107,0,0,1528,1083,
12,2016,Algeria,DZA,94220,5700,0,0,0,3.19999999999973
13,2017,Algeria,DZA,94248,6353,0,0,0,1.29999999999994
14,2018,Algeria,DZA,94341,8910,0,0,0,1.09999999999995
15,2019,Algeria,DZA,98599,1725,0,0,0,0.999999999999915
16,2020,Algeria,DZA,97651,2124,0,0,0,-5.09999999999982
17,2021,Algeria,DZA,97810,2282,0,0,0,
18,2016,Angola,AGO,15547,30131,0,0,0,-2.58004964404932
19,2017,Angola,AGO,41119,30131,0,0,0,-0.147212941085755
20,2018,Angola,AGO,39856,30128,0,0,0,-2.00362972730201
21,2019,Angola,AGO,25793,30178,0,0,61,-0.624644317706895
22,2020,Angola,AGO,25791,30278,0,0,61,-5.39998738958575
23,2021,Angola,AGO,25931,30282,0,0,198,
24,2019,Anguilla,AIA,0,0,0,0,0,
25,2020,Anguilla,AIA,0,0,0,0,0,
26,2021,Anguilla,AIA,0,0,0,0,0,
27,2016,Antigua and Barbuda,ATG,5,0,0,0,0,5.49645920357835
28,2016,Argentina,ARG,3267,3917,0,0,181,-2.08032784377811
29,2017,Argentina,ARG,3332,4111,0,0,56969,2.81850297775918
30,2018,Argentina,ARG,3442,6102,0,0,410,-2.61739646282038
31,2019,Argentina,ARG,3857,7992,0,0,443,-2.0259342366392
32,2020,Argentina,ARG,3965,9176,0,0,448,-9.89526896368687
33,2021,Argentina,ARG,4007,10354,0,0,448,
34,2016,Armenia,ARM,17883,73,0,512,0,0.199999999825991
35,2017,Armenia,ARM,17968,62,0,773,0,7.50000000164144
36,2018,Armenia,ARM,17966,105,0,848,0,5.19999999965324
37,2019,Armenia,ARM,17980,158,0,961,0,7.59999999853918
38,2020,Armenia,ARM,107910,136,0,1000,0,-7.40000000000001
39,2021,Armenia,ARM,45415,127,0,892,0,
40,2016,Aruba,ABW,0,5,0,0,0,0.0
41,2017,Aruba,ABW,0,147,0,0,0,0.0
42,2018,Aruba,ABW,0,407,0,0,0,
43,2019,Aruba,ABW,0,406,0,0,0,
44,2020,Aruba,ABW,0,0,0,0,13,
45,2021,Aruba,ABW,0,0,0,0,29,
46,2016,Australia,AUS,42187,29633,0,0,0,2.74164306864724
47,2017,Australia,AUS,48480,48029,0,52,0,2.29592694694063
48,2018,Australia,AUS,56934,60645,0,132,0,2.87097248021668
49,2019,Australia,AUS,58529,77363,0,0,0,2.11314942462376
50,2020,Australia,AUS,57411,80801,0,5221,46,-0.00383655856659
51,2021,Australia,AUS,56229,79819,0,5770,2022,
52,2016,Austria,AUT,93242,76382,0,937,0,1.98943716230463
53,2017,Austria,AUT,115252,56279,0,1003,0,2.25857243250671
54,2018,Austria,AUT,128779,37347,0,1062,0,2.50159511872086
55,2019,Austria,AUT,135951,29656,0,1132,0,1.49121084953705
56,2020,Austria,AUT,141816,20710,0,3267,0,-6.73451407608768
57,2021,Austria,AUT,146025,18308,0,3229,0,
58,2016,Azerbaijan,AZE,1193,255,613129,3585,0,-3.09999999999992
59,2017,Azerbaijan,AZE,1120,124,612785,3585,0,0.199999999999804
60,2018,Azerbaijan,AZE,1130,209,620423,3585,0,1.50000000000009
61,2019,Azerbaijan,AZE,1109,181,652326,3585,0,2.4999999999999
62,2020,Azerbaijan,AZE,1572,48,653921,3585,0,-4.29999999999997
63,2021,Azerbaijan,AZE,1603,42,653921,3585,0,
64,2016,Bahamas,BHS,9,17,0,0,0,
65,2017,Bahamas,BHS,8,15,0,0,0,
66,2018,Bahamas,BHS,14,24,0,0,0,
67,2019,Bahamas,BHS,10,13,0,0,0,
68,2020,Bahamas,BHS,15,13,0,0,0,
69,2021,Bahamas,BHS,20,8,0,0,0,
70,2016,Bahrain,BHR,270,111,0,0,0,3.55812811897778
71,2017,Bahrain,BHR,255,111,0,0,0,4.29094977756338
72,2018,Bahrain,BHR,262,58,0,0,0,2.13670134684136
73,2019,Bahrain,BHR,251,58,0,0,0,2.14137678356339
74,2020,Bahrain,BHR,256,104,0,0,0,-5.08518021318916
75,2021,Bahrain,BHR,251,107,0,0,0,
76,2016,Bangladesh,BGD,276203,0,0,0,0,7.11347821327269
77,2017,Bangladesh,BGD,932209,115,0,932204,0,7.28417442269364
78,2018,Bangladesh,BGD,906640,39,0,906635,0,7.86375358002958
79,2019,Bangladesh,BGD,854779,34,0,854704,0,8.1526841493979
80,2020,Bangladesh,BGD,866534,18,0,866457,472000,3.5091358821393
81,2021,Bangladesh,BGD,889775,27,0,889704,472000,
82,2018,Barbados,BRB,0,5,0,0,0,-0.580333154218167
83,2019,Barbados,BRB,0,10,0,0,0,-0.0961355529131964
84,2020,Barbados,BRB,0,5,0,0,0,-18.9795097037672
85,2021,Barbados,BRB,0,5,0,0,0,
86,2016,Belarus,BLR,1647,228,0,6182,0,-2.52644643552364
87,2017,Belarus,BLR,2155,273,0,6007,0,2.53218350023035
88,2018,Belarus,BLR,2225,184,0,6025,0,3.14919759374963
89,2019,Belarus,BLR,2725,131,0,6466,0,1.40000000000001
90,2020,Belarus,BLR,2900,143,0,6297,0,-0.900000000246891
91,2021,Belarus,BLR,2924,136,0,6104,0,
92,2016,Belgium,BEL,42158,24098,0,2630,0,1.26668640902095
93,2017,Belgium,BEL,42158,18760,0,7695,0,1.6195802783878
94,2018,Belgium,BEL,42158,19550,0,7695,0,1.81920366405947
95,2019,Belgium,BEL,61662,10862,0,10933,0,2.14955968072559
96,2020,Belgium,BEL,64973,29305,0,1264,940,-5.65965987018394
97,2021,Belgium,BEL,65906,22516,0,1159,854,
98,2016,Belize,BLZ,0,2427,0,0,1709,-0.0332336324360227
99,2017,Belize,BLZ,0,3120,0,0,2774,1.81368203309692
100,2018,Belize,BLZ,29,3305,0,0,2774,2.90606973116134
101,2019,Belize,BLZ,29,2144,0,0,3390,1.76279791284728
102,2020,Belize,BLZ,29,2249,0,0,3390,-14.0105321507761
103,2021,Belize,BLZ,65,2157,0,0,3500,
104,2016,Benin,BEN,804,224,0,0,0,3.33967342629693
105,2017,Benin,BEN,1056,262,0,0,0,5.67155546944753
106,2018,Benin,BEN,1167,308,0,0,0,6.69725946087986
107,2019,Benin,BEN,1238,373,0,0,0,6.86568733550151
108,2020,Benin,BEN,1396,464,0,0,0,3.84879240030133
109,2021,Benin,BEN,1427,501,0,0,0,
110,2016,Bolivia (Plurinational State of),BOL,776,0,0,0,0,
111,2017,Bolivia (Plurinational State of),BOL,802,34,0,0,0,
112,2018,Bolivia (Plurinational State of),BOL,802,34,0,0,0,
113,2019,Bolivia (Plurinational State of),BOL,863,242,0,0,0,
114,2020,Bolivia (Plurinational State of),BOL,1116,157,0,0,0,
115,2021,Bolivia (Plurinational State of),BOL,1116,35,0,0,0,
116,2016,Bosnia and Herzegovina,BIH,5266,51,98324,49,52437,3.14980691561182
117,2017,Bosnia and Herzegovina,BIH,5224,223,98574,65,48907,3.17143487487128
118,2018,Bosnia and Herzegovina,BIH,5227,1003,96830,90,48907,3.74007109201324
119,2019,Bosnia and Herzegovina,BIH,5241,725,96421,75,53728,2.83100260259697
120,2020,Bosnia and Herzegovina,BIH,5232,256,96305,66,7645,-3.19695013403583
121,2021,Bosnia and Herzegovina,BIH,416,177,96305,149,3516,
122,2016,Botswana,BWA,2090,78,0,0,660,7.03689695063241
123,2017,Botswana,BWA,2116,65,0,0,293,4.003449739749
124,2018,Botswana,BWA,2044,268,0,0,6,3.98039539042554
125,2019,Botswana,BWA,1113,150,0,0,6,2.99273763533627
126,2020,Botswana,BWA,617,422,0,0,6,-8.49289351078259
127,2021,Botswana,BWA,644,73,0,0,11,
128,2016,Brazil,BRA,9674,35451,0,5,22930,-3.2759169063211
129,2017,Brazil,BRA,10260,85739,0,294,52341,1.32286905390815
130,2018,Brazil,BRA,11304,152670,0,0,0,1.78366676137003
131,2019,Brazil,BRA,32844,207294,0,7,0,1.41115298506995
132,2020,Brazil,BRA,59092,202661,0,14,0,-4.05904827267271
133,2021,Brazil,BRA,60848,206000,0,14,0,
134,2021,British Virgin Islands,VGB,0,0,0,0,0,
135,2016,Brunei Darussalam,BRN,0,0,0,20524,0,-2.47791771833224
136,2017,Brunei Darussalam,BRN,0,0,0,20524,0,1.32860255161715
137,2018,Brunei Darussalam,BRN,0,0,0,20863,0,0.0522377907767719
138,2019,Brunei Darussalam,BRN,0,0,0,20863,0,3.86910986506845
139,2020,Brunei Darussalam,BRN,0,0,0,20863,0,1.13357335070793
140,2021,Brunei Darussalam,BRN,0,0,0,20863,0,
141,2016,Bulgaria,BGR,17794,16030,0,67,0,3.03982527630795
142,2017,Bulgaria,BGR,19166,2712,0,48,0,2.76217095961262
143,2018,Bulgaria,BGR,19906,1560,0,92,0,2.68457613091411
144,2019,Bulgaria,BGR,20438,2060,0,116,0,4.03759208211947
145,2020,Bulgaria,BGR,21113,1938,0,1141,0,-4.38714983385256
146,2021,Bulgaria,BGR,21770,1691,0,1143,0,
147,2016,Burkina Faso,BFA,32551,126,0,0,0,5.95797670754024
148,2017,Burkina Faso,BFA,24152,43,2350,0,0,6.20348941121868
149,2018,Burkina Faso,BFA,25120,40,47030,0,0,6.60456906812341
150,2019,Burkina Faso,BFA,25869,29,560033,0,0,5.68811514943657
151,2020,Burkina Faso,BFA,20252,30,1074993,0,0,1.93032488957256
152,2021,Burkina Faso,BFA,22291,29,1312071,0,0,
153,2016,Burundi,BDI,57462,3608,141221,974,649,-0.600020000546493
154,2017,Burundi,BDI,62353,3551,57258,974,772,0.500009998779461
155,2018,Burundi,BDI,71501,5658,31909,974,787,1.60993308234522
156,2019,Burundi,BDI,78465,9090,33256,974,1904,1.84247667669987
157,2020,Burundi,BDI,75461,4914,21863,974,1977,0.297577119233125
158,2021,Burundi,BDI,76837,4929,19399,767,2179,
159,2016,Cabo Verde,CPV,0,0,0,115,0,4.70579150927118
160,2017,Cabo Verde,CPV,0,0,0,115,0,3.70203918776542
161,2018,Cabo Verde,CPV,0,0,0,115,0,4.53116168434889
162,2019,Cabo Verde,CPV,0,0,0,115,0,5.66775246034304
163,2020,Cabo Verde,CPV,0,0,0,115,0,-14.7834050101145
164,2021,Cabo Verde,CPV,0,0,0,115,0,
165,2016,Cambodia,KHM,61,170,0,0,0,6.93331397294972
166,2017,Cambodia,KHM,61,44,0,0,0,6.99690369938479
167,2018,Cambodia,KHM,0,0,0,57444,0,7.469169206999
168,2019,Cambodia,KHM,0,27,0,57444,0,7.05410693233065
169,2020,Cambodia,KHM,0,12,0,57444,0,-3.1475890983283
170,2021,Cambodia,KHM,32,66,0,57444,0,
171,2016,Cameroon,CMR,375413,3237,198889,0,28,4.53579423569734
172,2017,Cameroon,CMR,337382,5765,221695,0,38,3.54117654926007
173,2018,Cameroon,CMR,380327,8092,668494,0,25,3.9555142403664
174,2019,Cameroon,CMR,406259,10065,950263,0,20,3.47505997865608
175,2020,Cameroon,CMR,436396,6809,1032942,0,215,0.491914742161129
176,2021,Cameroon,CMR,446101,6059,1032942,0,1245,
177,2016,Canada,CAN,97322,23946,0,0,0,1.00139441390405
178,2017,Canada,CAN,104768,51859,0,3790,0,3.03988022528195
179,2018,Canada,CAN,114101,78766,0,3790,0,2.77704055379553
180,2019,Canada,CAN,101757,97701,0,3790,0,1.87959202770178
181,2020,Canada,CAN,109214,85352,0,4139,0,-5.23302430280606
182,2021,Canada,CAN,125427,73198,0,3823,0,
183,2016,Cayman Islands,CYM,18,24,0,0,0,3.23997688772937
184,2017,Cayman Islands,CYM,29,28,0,0,0,3.18404337595337
185,2018,Cayman Islands,CYM,34,27,0,0,0,4.19434090986198
186,2019,Cayman Islands,CYM,34,14,0,0,0,3.81710040387819
187,2020,Cayman Islands,CYM,38,28,0,0,0,-6.73028742811069
188,2021,Cayman Islands,CYM,43,30,0,0,0,
189,2016,Central African Rep.,CAF,12117,310,411785,0,0,
190,2017,Central African Rep.,CAF,10033,571,688700,0,0,
191,2018,Central African Rep.,CAF,6652,397,640970,0,0,
192,2019,Central African Rep.,CAF,7170,309,669906,0,0,
193,2020,Central African Rep.,CAF,9083,285,681930,0,0,
194,2021,Central African Rep.,CAF,9174,293,716678,0,0,
195,2016,Chad,TCD,391235,1908,124342,0,36718,-6.25552708545281
196,2017,Chad,TCD,411475,660,99983,0,99103,-2.98869598553931
197,2018,Chad,TCD,451203,3467,165314,0,36718,2.37403780037786
198,2019,Chad,TCD,442670,3756,170278,0,122359,3.24718191743429
199,2020,Chad,TCD,478649,4568,336124,0,99765,-0.947304885424217
200,2021,Chad,TCD,508304,4548,401511,0,107810,
201,2016,Chile,CHL,1730,3218,0,0,0,1.71108928867041
202,2017,Chile,CHL,1861,8462,0,0,86687,1.18454470657974
203,2018,Chile,CHL,2026,11993,0,0,1989,3.71385917709956
204,2019,Chile,CHL,2046,8521,0,0,2073,0.942005306544473
205,2020,Chile,CHL,2053,8069,0,0,1866,-5.77150166878876
206,2021,Chile,CHL,2060,6451,0,0,1881,
207,2016,China,CHN,317254,647,0,0,0,6.84876220503246
208,2017,China,CHN,321714,691,0,0,0,6.94720079327288
209,2018,China,CHN,321758,583,0,0,0,6.74977383247717
210,2019,China,CHN,303379,644,0,0,0,5.94971423273162
211,2020,China,CHN,303405,743,0,0,0,2.3475135727457
212,2021,China,CHN,303430,704,0,0,0,
213,2016,"China, Hong Kong SAR",HKG,91,0,0,0,0,
214,2017,"China, Hong Kong SAR",HKG,85,5,0,0,0,
215,2018,"China, Hong Kong SAR",HKG,128,0,0,0,0,
216,2019,"China, Hong Kong SAR",HKG,128,0,0,0,0,
217,2020,"China, Hong Kong SAR",HKG,241,0,0,0,0,
218,2021,"China, Hong Kong SAR",HKG,265,0,0,0,0,
219,2016,"China, Macao SAR",MAC,0,5,0,0,0,
220,2017,"China, Macao SAR",MAC,0,5,0,0,0,
221,2016,Colombia,COL,241,368,7410816,11,0,2.08738250162794
222,2017,Colombia,COL,260,525,7677609,11,68734,1.35936086788746
223,2018,Colombia,COL,294,2851,7816473,11,0,2.56432428277704
224,2019,Colombia,COL,634,9094,7976412,11,400000,3.28111680452643
225,2020,Colombia,COL,957,19933,8252788,11,1241889,-6.79575810693639
226,2021,Colombia,COL,964,30599,8143758,11,1287450,
227,2016,Congo,COG,46454,6672,15303,0,3155,
228,2017,Congo,COG,48509,7092,107828,0,3862,
229,2018,Congo,COG,37491,9176,138000,0,12399,
230,2019,Congo,COG,25668,14417,134430,0,11770,
231,2020,Congo,COG,27097,13622,134430,0,11920,
232,2021,Congo,COG,38421,13651,134430,0,10098,
233,2016,Costa Rica,CRI,4162,3626,0,127,0,4.20432325178332
234,2017,Costa Rica,CRI,4479,7428,0,71,0,4.15769896287743
235,2018,Costa Rica,CRI,4531,32595,0,82,40,2.61590440443709
236,2019,Costa Rica,CRI,6204,87470,0,231,69,2.25631507916432
237,2020,Costa Rica,CRI,9593,89744,0,199,0,-4.06367653504677
238,2021,Costa Rica,CRI,9976,95275,0,205,72,
239,2016,Cote d'Ivoire,CIV,1397,276,0,694000,118,7.17920782392478
240,2017,Cote d'Ivoire,CIV,1559,368,0,692000,165,7.35963808821695
241,2018,Cote d'Ivoire,CIV,1808,198,0,692000,104,6.89028431967284
242,2019,Cote d'Ivoire,CIV,2020,151,0,955399,65,6.23170951305083
243,2020,Cote d'Ivoire,CIV,2086,224,5394,954531,50,1.95833247878154
244,2021,Cote d'Ivoire,CIV,2119,223,0,952969,50,
245,2016,Croatia,HRV,300,529,0,2873,14518,3.53243223207443
246,2017,Croatia,HRV,508,406,0,2873,8019,3.41409225965485
247,2018,Croatia,HRV,787,198,0,2886,4376,2.90000959900429
248,2019,Croatia,HRV,916,454,0,2886,4027,3.48194560339674
249,2020,Croatia,HRV,956,567,0,2898,2520,-8.09976125177539
250,2021,Croatia,HRV,965,583,0,2910,1231,
251,2016,Cuba,CUB,312,28,0,0,0,0.513761467889907
252,2017,Cuba,CUB,343,15,0,0,0,1.80905439941586
253,2018,Cuba,CUB,287,24,0,0,0,2.24848039303581
254,2019,Cuba,CUB,233,32,0,0,0,-0.164839982463832
255,2020,Cuba,CUB,222,10,0,0,0,-10.9483409741617
256,2021,Cuba,CUB,207,5,0,0,0,
257,2016,Curacao ,CUW,53,55,0,0,0,
258,2017,Curacao ,CUW,74,729,0,0,0,
259,2018,Curacao ,CUW,99,342,0,0,0,
260,2019,Curacao ,CUW,42,345,0,0,0,
261,2020,Curacao ,CUW,68,318,0,0,0,
262,2021,Curacao ,CUW,67,318,0,0,0,
263,2016,Cyprus,CYP,8478,3049,0,0,6000,6.45455446625895
264,2017,Cyprus,CYP,9790,5216,0,0,6000,5.85254035493243
265,2018,Cyprus,CYP,11002,10267,0,0,6000,5.69284172448825
266,2019,Cyprus,CYP,12311,18799,0,0,4000,5.28318739627791
267,2020,Cyprus,CYP,13997,20483,0,56,4000,-5.2289880999943
268,2021,Cyprus,CYP,15141,21919,0,66,4000,
269,2016,Czechia,CZE,3640,769,0,1502,0,
270,2017,Czechia,CZE,3640,799,0,1502,0,
271,2018,Czechia,CZE,2186,1910,0,1502,0,
272,2019,Czechia,CZE,2054,1632,0,1394,413,
273,2020,Czechia,CZE,1919,1537,0,1492,1502,
274,2021,Czechia,CZE,2052,1014,0,1498,1436,
275,2016,Dem. Rep. of the Congo,COD,451957,1324,2232900,0,0,
276,2017,Dem. Rep. of the Congo,COD,537089,807,4351376,0,0,
277,2018,Dem. Rep. of the Congo,COD,529065,5770,4516866,0,0,
278,2019,Dem. Rep. of the Congo,COD,523733,3192,5014253,0,0,
279,2020,Dem. Rep. of the Congo,COD,490243,1480,5198131,0,0,
280,2021,Dem. Rep. of the Congo,COD,519819,16595,5094035,0,0,
281,2016,Denmark,DNK,33501,7001,0,7610,0,3.24595698524399
282,2017,Denmark,DNK,35668,4229,0,7990,0,2.82173634129026
283,2018,Denmark,DNK,36623,2675,0,8236,0,1.98953731496432
284,2019,Denmark,DNK,37533,1462,0,8672,0,2.11466420842453
285,2020,Denmark,DNK,36643,1331,0,11655,0,-2.06212495876164
286,2021,Denmark,DNK,36431,844,0,11608,0,
287,2016,Djibouti,DJI,17683,8058,0,0,117,6.65265037178067
288,2017,Djibouti,DJI,17553,9357,0,0,88,5.40309984307834
289,2018,Djibouti,DJI,18293,10479,0,0,0,8.40766266610518
290,2019,Djibouti,DJI,19639,11224,0,0,0,7.77049725726383
291,2020,Djibouti,DJI,21193,10811,0,0,1301,0.499999999999986
292,2021,Djibouti,DJI,22123,11441,0,0,1301,
293,2016,Dominican Rep.,DOM,593,787,0,0,0,
294,2017,Dominican Rep.,DOM,594,850,0,0,0,
295,2018,Dominican Rep.,DOM,164,327,0,0,0,
296,2019,Dominican Rep.,DOM,164,561,0,0,0,
297,2020,Dominican Rep.,DOM,162,625,0,0,0,
298,2021,Dominican Rep.,DOM,162,642,0,0,0,
299,2016,Ecuador,ECU,102848,24542,0,0,0,-1.22638398463879
300,2017,Ecuador,ECU,92405,11895,0,0,41000,2.36838652633651
301,2018,Ecuador,ECU,101550,17044,0,0,0,1.28929193290502
302,2019,Ecuador,ECU,104560,25002,0,0,0,0.0121051028476558
303,2020,Ecuador,ECU,104582,26001,0,0,0,-7.75012337710913
304,2021,Ecuador,ECU,55424,6565,0,0,0,
305,2016,Egypt,EGY,213515,49844,0,19,0,
306,2017,Egypt,EGY,232647,56557,0,0,0,
307,2018,Egypt,EGY,246746,68168,0,5,0,
308,2019,Egypt,EGY,258391,69842,0,5,0,
309,2020,Egypt,EGY,272826,56446,0,7,0,
310,2021,Egypt,EGY,277665,57320,0,7,0,
311,2016,El Salvador,SLV,41,0,0,0,9800,2.54592608601685
312,2017,El Salvador,SLV,40,5,71500,0,4200,2.2466700387793
313,2018,El Salvador,SLV,44,16,71501,0,4700,2.43228758708827
314,2019,El Salvador,SLV,48,29,71500,0,6800,2.38258139815673
315,2020,El Salvador,SLV,48,53,71500,0,1700,-8.5813121584968
316,2021,El Salvador,SLV,32,67,71500,0,290,
317,2016,Eritrea,ERI,2342,8,0,0,16,
318,2017,Eritrea,ERI,2392,0,0,0,19,
319,2018,Eritrea,ERI,2252,0,0,0,21,
320,2019,Eritrea,ERI,199,0,0,0,17,
321,2020,Eritrea,ERI,201,0,0,0,17,
322,2021,Eritrea,ERI,121,0,0,0,17,
323,2016,Estonia,EST,312,43,0,82585,0,3.15556481438308
324,2017,Estonia,EST,405,36,0,80314,0,5.79204467466494
325,2018,Estonia,EST,319,30,0,77877,0,4.13381979831833
326,2019,Estonia,EST,331,33,0,75599,0,4.09634264397782
327,2020,Estonia,EST,277,5,0,73215,0,-2.95106931268964
328,2021,Estonia,EST,288,15,0,71873,0,
329,2016,Eswatini,SWZ,725,377,0,0,0,1.06261019342853
330,2017,Eswatini,SWZ,790,544,0,0,0,2.0265781557498
331,2018,Eswatini,SWZ,874,739,0,0,0,2.37161052114132
332,2019,Eswatini,SWZ,940,963,0,0,0,2.61303529001997
333,2020,Eswatini,SWZ,945,1104,0,0,0,-1.85052471016712
334,2021,Eswatini,SWZ,987,1151,0,0,0,
335,2016,Ethiopia,ETH,791631,1948,0,0,535,9.43348265784402
336,2017,Ethiopia,ETH,889412,2593,1078429,0,528,9.56418964295607
337,2018,Ethiopia,ETH,903226,2136,2615800,0,452,6.81614779681703
338,2019,Ethiopia,ETH,733123,1677,1733628,0,392,8.3640856990789
339,2020,Ethiopia,ETH,800454,1901,2733628,0,454,6.05661779202561
340,2021,Ethiopia,ETH,782896,2110,3954760,0,460,
341,2016,Fiji,FJI,7,0,0,0,0,2.44565200769968
342,2017,Fiji,FJI,7,10,0,0,0,5.35336493706966
343,2018,Fiji,FJI,0,17,0,0,0,3.81235097047221
344,2019,Fiji,FJI,12,10,0,0,0,-0.445563043622684
345,2020,Fiji,FJI,14,5,0,0,0,-15.7118039805906
346,2021,Fiji,FJI,13,5,0,0,0,
347,2016,Finland,FIN,18402,5559,0,2671,0,2.81145776663433
348,2017,Finland,FIN,20793,3101,0,2749,0,3.19240962968416
349,2018,Finland,FIN,22287,3264,0,2759,0,1.14194750876192
350,2019,Finland,FIN,23458,8719,0,2801,0,1.22075414302529
351,2020,Finland,FIN,23428,6316,0,3428,0,-2.80013589086919
352,2021,Finland,FIN,23746,5308,0,3416,0,
353,2016,France,FRA,304527,62764,0,1370,0,1.09546440372048
354,2017,France,FRA,337158,63115,0,1425,0,2.29141999417021
355,2018,France,FRA,368345,89055,0,1493,0,1.86506607081999
356,2019,France,FRA,407915,102192,0,1521,0,1.84297181445896
