,Year,Country of asylum,lookup,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
817,2019,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,0,0,0,0,0,
818,2020,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,0,0,0,0,0,
819,2021,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,0,0,0,0,0,
820,2016,Samoa,Samoa,WSM,5,0,0,0,0,8.126249353
821,2017,Samoa,Samoa,WSM,5,0,0,0,0,1.042433719
822,2018,Samoa,Samoa,WSM,5,0,0,0,0,-1.233162407
823,2016,Saudi Arabia,Saudi Arabia,SAU,136,51,0,70000,0,1.670624758
824,2017,Saudi Arabia,Saudi Arabia,SAU,153,82,0,70000,0,-0.741502653
825,2018,Saudi Arabia,Saudi Arabia,SAU,263,2167,0,70000,0,2.434110781
826,2019,Saudi Arabia,Saudi Arabia,SAU,315,2327,0,70000,0,0.331435729
827,2020,Saudi Arabia,Saudi Arabia,SAU,330,9434,0,70000,0,-4.106583413
828,2021,Saudi Arabia,Saudi Arabia,SAU,335,10116,0,70000,0,
829,2016,Senegal,Senegal,SEN,14575,3213,0,0,0,6.356068572
830,2017,Senegal,Senegal,SEN,14646,3368,0,0,0,7.407486186
831,2018,Senegal,Senegal,SEN,14359,1699,0,0,0,6.209241034
832,2019,Senegal,Senegal,SEN,14467,1791,0,0,0,4.402406836
833,2020,Senegal,Senegal,SEN,14361,1913,0,0,0,1.499763427
834,2021,Senegal,Senegal,SEN,14505,2005,0,0,0,
835,2016,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,36518,122,219633,2373,0,
836,2017,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,32206,137,217453,2155,0,
837,2018,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,30946,217,215794,2052,0,
838,2019,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,26427,267,214696,1951,5833,
839,2020,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,26090,302,213018,2145,6514,
840,2021,Serbia and Kosovo: S/RES/1244 (1999),#N/A,SRB,25641,220,211868,2113,3826,
841,2016,Sierra Leone,Sierra Leone,SLE,683,5,0,0,0,6.055474029
842,2017,Sierra Leone,Sierra Leone,SLE,678,0,0,0,0,4.192610074
843,2018,Sierra Leone,Sierra Leone,SLE,591,0,0,0,0,3.46460214
844,2019,Sierra Leone,Sierra Leone,SLE,441,0,0,0,0,5.254241203
845,2020,Sierra Leone,Sierra Leone,SLE,342,0,0,0,0,-1.96894782
846,2021,Sierra Leone,Sierra Leone,SLE,342,0,0,0,0,
847,2018,Singapore,Singapore,SGP,0,0,0,1303,0,3.497469601
848,2019,Singapore,Singapore,SGP,0,0,0,1303,0,1.345217486
849,2020,Singapore,Singapore,SGP,0,0,0,1109,0,-5.391021406
850,2021,Singapore,Singapore,SGP,0,0,0,1109,0,
851,2016,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,5,5,0,0,0,0.5
852,2017,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,5,0,0,0,0,-5.8
853,2018,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,5,0,0,0,0,-6.6
854,2019,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,5,5,0,0,0,
855,2020,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,0,8,0,0,0,
856,2021,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM,0,9,0,0,0,
857,2016,Slovakia,Slovakia,SVK,980,38,0,1523,46,
858,2017,Slovakia,Slovakia,SVK,912,26,0,1523,10,
859,2018,Slovakia,Slovakia,SVK,938,17,0,1523,0,
860,2019,Slovakia,Slovakia,SVK,965,5,0,1523,0,
861,2020,Slovakia,Slovakia,SVK,1006,44,0,1532,0,
862,2021,Slovakia,Slovakia,SVK,1012,53,0,1532,0,
863,2016,Slovenia,Slovenia,SVN,454,309,0,5,0,3.191852518
864,2017,Slovenia,Slovenia,SVN,611,264,0,5,0,4.815380632
865,2018,Slovenia,Slovenia,SVN,746,245,0,5,0,4.422521568
866,2019,Slovenia,Slovenia,SVN,741,315,0,5,0,3.250531336
867,2020,Slovenia,Slovenia,SVN,823,277,0,8,5,-4.229261389
868,2021,Slovenia,Slovenia,SVN,833,253,0,0,57,
869,2018,Solomon Islands,Solomon Islands,SLB,0,5,0,0,0,3.94424955
870,2016,Somalia,Somalia,SOM,11579,12792,1562554,0,130,8.399345781
871,2017,Somalia,Somalia,SOM,14565,14706,2116705,0,129,2.592560223
872,2018,Somalia,Somalia,SOM,16738,16361,2648001,0,380,7.678879802
873,2019,Somalia,Somalia,SOM,17882,17793,2648000,0,152,8.081440022
874,2020,Somalia,Somalia,SOM,11220,13229,2967500,0,8,2.440210973
875,2021,Somalia,Somalia,SOM,11959,13536,2967500,0,13,
876,2016,South Africa,South Africa,ZAF,91018,218275,0,0,0,0.664552308
877,2017,South Africa,South Africa,ZAF,88694,191333,0,0,0,1.157946952
878,2018,South Africa,South Africa,ZAF,89285,184193,0,0,0,1.487617373
879,2019,South Africa,South Africa,ZAF,78395,188235,0,0,0,0.113053697
880,2020,South Africa,South Africa,ZAF,76729,173461,0,0,0,-6.431974826
881,2021,South Africa,South Africa,ZAF,76729,173461,0,0,0,
882,2016,South Sudan,South Sudan,SSD,262558,1790,1853924,0,0,
883,2017,South Sudan,South Sudan,SSD,283405,1895,1903953,0,10000,
884,2018,South Sudan,South Sudan,SSD,291838,2535,1878154,0,10000,
885,2019,South Sudan,South Sudan,SSD,298309,3678,1665815,0,10000,
886,2020,South Sudan,South Sudan,SSD,314438,3763,1600254,10000,250000,
887,2021,South Sudan,South Sudan,SSD,320879,3961,1710966,10000,250000,
888,2016,Spain,Spain,ESP,12983,20360,0,1011,0,3.03130133
889,2017,Spain,Spain,ESP,17541,34866,0,1596,0,2.973641191
890,2018,Spain,Spain,ESP,20437,78685,0,2455,0,2.288785676
891,2019,Spain,Spain,ESP,57751,133030,0,4246,0,2.085191421
892,2020,Spain,Spain,ESP,103624,103385,0,5914,5904,-10.82288649
893,2021,Spain,Spain,ESP,115258,91585,0,6092,6081,
894,2016,Sri Lanka,Sri Lanka,LKA,602,573,39730,0,0,4.486634531
895,2017,Sri Lanka,Sri Lanka,LKA,820,629,39322,0,0,3.578169679
896,2018,Sri Lanka,Sri Lanka,LKA,796,744,35473,0,0,3.272000479
897,2019,Sri Lanka,Sri Lanka,LKA,1041,361,25110,0,0,2.255176529
898,2020,Sri Lanka,Sri Lanka,LKA,1008,224,25013,35,0,-3.569076137
899,2021,Sri Lanka,Sri Lanka,LKA,952,211,11273,0,0,
900,2016,Sudan,Sudan,SDN,421459,16056,2225557,0,3758,3.467642184
901,2017,Sudan,Sudan,SDN,906590,18212,1997022,0,3873,0.709256285
902,2018,Sudan,Sudan,SDN,1078280,17619,1864195,0,3725,-2.68093055
903,2019,Sudan,Sudan,SDN,1055489,15748,1885782,0,3691,-2.178251045
904,2020,Sudan,Sudan,SDN,1040288,16023,2552174,0,3698,-3.629805626
905,2021,Sudan,Sudan,SDN,1068339,25102,2552174,0,3829,
906,2016,Suriname,Suriname,SUR,0,43,0,0,0,-4.915786469
907,2017,Suriname,Suriname,SUR,34,67,0,0,0,1.567191065
908,2018,Suriname,Suriname,SUR,41,206,0,0,0,4.948270766
909,2019,Suriname,Suriname,SUR,44,1426,0,0,0,1.098467778
910,2020,Suriname,Suriname,SUR,19,1988,0,0,0,-15.90795119
911,2021,Suriname,Suriname,SUR,19,2018,0,0,0,
912,2016,Sweden,Sweden,SWE,230158,83040,0,36036,0,2.070593151
913,2017,Sweden,Sweden,SWE,240954,51588,0,35101,0,2.567924525
914,2018,Sweden,Sweden,SWE,248210,37892,0,31819,0,1.950022846
915,2019,Sweden,Sweden,SWE,253787,28591,0,30305,0,1.986195874
916,2020,Sweden,Sweden,SWE,248370,18603,0,50414,0,-2.948127879
917,2021,Sweden,Sweden,SWE,244942,14472,0,50098,0,
918,2016,Switzerland,Switzerland,CHE,82668,30778,0,66,0,2.045186469
919,2017,Switzerland,Switzerland,CHE,93030,23728,0,62,0,1.584819616
920,2018,Switzerland,Switzerland,CHE,104011,14776,0,49,0,2.916905098
921,2019,Switzerland,Switzerland,CHE,110162,11200,0,0,0,1.210992207
922,2020,Switzerland,Switzerland,CHE,115798,6547,0,710,60,-2.392826042
923,2021,Switzerland,Switzerland,CHE,117169,5612,0,684,60,
924,2016,Syrian Arab Rep.,Syrian Arab Rep.,SYR,19807,12484,6325978,160000,13628,
925,2017,Syrian Arab Rep.,Syrian Arab Rep.,SYR,19425,18098,6150005,160000,11213,
926,2018,Syrian Arab Rep.,Syrian Arab Rep.,SYR,18817,18631,6183920,160000,7879,
927,2019,Syrian Arab Rep.,Syrian Arab Rep.,SYR,16213,12106,6146994,160000,30971,
928,2020,Syrian Arab Rep.,Syrian Arab Rep.,SYR,15304,8769,6701972,160000,30846,
929,2021,Syrian Arab Rep.,Syrian Arab Rep.,SYR,15362,8761,6786846,160000,30367,
930,2016,Tajikistan,Tajikistan,TJK,2724,431,0,17002,0,6.89999962
931,2017,Tajikistan,Tajikistan,TJK,2521,440,0,10500,0,7.100001403
932,2018,Tajikistan,Tajikistan,TJK,2654,315,0,4616,0,7.599999387
933,2019,Tajikistan,Tajikistan,TJK,3788,1413,0,7151,0,7.399999638
934,2020,Tajikistan,Tajikistan,TJK,5578,408,0,6385,0,4.499999517
935,2021,Tajikistan,Tajikistan,TJK,6780,2519,0,6141,0,
936,2016,Thailand,Thailand,THA,106431,4986,0,487741,261,3.435157717
937,2017,Thailand,Thailand,THA,104605,2046,0,486440,109,4.177681032
938,2018,Thailand,Thailand,THA,102234,934,0,478843,98,4.189585496
939,2019,Thailand,Thailand,THA,97556,855,0,475009,119,2.266433672
940,2020,Thailand,Thailand,THA,96179,852,0,480696,146,-6.098983843
941,2021,Thailand,Thailand,THA,96175,756,0,554103,132,
942,2016,Togo,Togo,TGO,12486,777,0,0,0,5.559079305
943,2017,Togo,Togo,TGO,12425,744,0,0,0,4.347748238
944,2018,Togo,Togo,TGO,12335,694,0,0,0,4.9762131
945,2019,Togo,Togo,TGO,11964,692,0,0,0,5.459921448
946,2020,Togo,Togo,TGO,10798,660,0,0,0,1.752824967
947,2021,Togo,Togo,TGO,10831,710,0,0,0,
948,2016,Trinidad and Tobago,Trinidad and Tobago,TTO,104,202,0,0,6,-5.601818139
949,2017,Trinidad and Tobago,Trinidad and Tobago,TTO,282,1975,0,0,15,-2.987340197
950,2018,Trinidad and Tobago,Trinidad and Tobago,TTO,784,9937,0,0,15,0.066049775
951,2019,Trinidad and Tobago,Trinidad and Tobago,TTO,2308,17364,0,0,200,-1.246427336
952,2020,Trinidad and Tobago,Trinidad and Tobago,TTO,3179,19926,0,0,393,-7.853939948
953,2021,Trinidad and Tobago,Trinidad and Tobago,TTO,3458,21089,0,0,389,
954,2016,Tunisia,Tunisia,TUN,646,30,0,0,5,1.117425857
955,2017,Tunisia,Tunisia,TUN,726,36,0,0,0,2.244200968
956,2018,Tunisia,Tunisia,TUN,1061,250,0,0,8,2.510907072
957,2019,Tunisia,Tunisia,TUN,1732,1635,0,0,17,1.401976676
958,2020,Tunisia,Tunisia,TUN,2580,3700,0,0,54,-9.182372594
959,2021,Tunisia,Tunisia,TUN,2678,5783,0,0,46,
960,2016,Turkey,Turkey,TUR,2869419,245926,0,780,0,3.323084208
961,2017,Turkey,Turkey,TUR,3480350,308838,0,117,0,7.501997489
962,2018,Turkey,Turkey,TUR,3681688,311699,0,117,0,2.979885235
963,2019,Turkey,Turkey,TUR,3579531,328257,0,0,0,0.889585161
964,2020,Turkey,Turkey,TUR,3652362,322188,0,0,0,1.793551396
965,2021,Turkey,Turkey,TUR,3696831,322188,0,0,0,
966,2016,Turkmenistan,Turkmenistan,TKM,26,0,0,5744,0,6.199999966
967,2017,Turkmenistan,Turkmenistan,TKM,22,0,0,3851,0,6.500000047
968,2018,Turkmenistan,Turkmenistan,TKM,21,0,0,4714,0,6.199999941
969,2019,Turkmenistan,Turkmenistan,TKM,21,0,0,3688,0,6.3
970,2020,Turkmenistan,Turkmenistan,TKM,20,0,0,3924,0,
971,2021,Turkmenistan,Turkmenistan,TKM,20,0,0,4107,0,
972,2016,Turks and Caicos Islands,Turks and Caicos Islands,TCA,5,0,0,0,0,7.251186276
973,2017,Turks and Caicos Islands,Turks and Caicos Islands,TCA,5,0,0,0,0,-2.490222604
974,2018,Turks and Caicos Islands,Turks and Caicos Islands,TCA,5,0,0,0,0,5.610954617
975,2019,Turks and Caicos Islands,Turks and Caicos Islands,TCA,5,0,0,0,0,5.324557297
976,2020,Turks and Caicos Islands,Turks and Caicos Islands,TCA,8,0,0,0,0,-26.7828754
977,2021,Turks and Caicos Islands,Turks and Caicos Islands,TCA,8,5,0,0,0,
978,2016,Uganda,Uganda,UGA,940825,41872,0,0,180000,4.781000291
979,2017,Uganda,Uganda,UGA,1350495,44635,0,0,180000,3.131405518
980,2018,Uganda,Uganda,UGA,1165646,25269,0,0,180000,6.303923781
981,2019,Uganda,Uganda,UGA,1359458,21804,0,0,2304506,6.438745034
982,2020,Uganda,Uganda,UGA,1421133,25236,0,0,2351313,2.951306422
983,2021,Uganda,Uganda,UGA,1475311,23126,0,0,2509400,
984,2016,Ukraine,Ukraine,UKR,3292,6536,1800000,35363,0,2.440981945
985,2017,Ukraine,Ukraine,UKR,3241,6210,1800000,35294,0,2.359972281
986,2018,Ukraine,Ukraine,UKR,2606,6389,1500002,35650,0,3.488362342
987,2019,Ukraine,Ukraine,UKR,2166,2400,734000,35642,1680000,3.199503862
988,2020,Ukraine,Ukraine,UKR,2249,2359,734000,35875,1620000,-4.000006101
989,2021,Ukraine,Ukraine,UKR,2310,2621,734000,35875,1620000,
990,2016,United Arab Emirates,United Arab Emirates,ARE,888,605,0,0,0,2.984216091
991,2017,United Arab Emirates,United Arab Emirates,ARE,884,1882,0,0,10,2.373551057
992,2018,United Arab Emirates,United Arab Emirates,ARE,1167,6500,0,0,97,1.189855642
993,2019,United Arab Emirates,United Arab Emirates,ARE,1242,7266,0,0,130,3.411538686
994,2020,United Arab Emirates,United Arab Emirates,ARE,1315,7229,0,5,127,-6.134500803
995,2021,United Arab Emirates,United Arab Emirates,ARE,1296,7238,0,5,125,
996,2016,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,118973,43496,0,64,0,
997,2017,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,121821,40354,0,97,0,
998,2018,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,126708,45234,0,125,0,
999,2019,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,133083,61947,0,161,0,
1000,2020,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,132304,77245,0,4662,209,
1001,2021,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,135912,83489,0,3968,209,
1002,2016,United Rep. of Tanzania,United Rep. of Tanzania,TZA,281498,8539,0,0,168785,
1003,2017,United Rep. of Tanzania,United Rep. of Tanzania,TZA,308528,44172,0,0,168581,
1004,2018,United Rep. of Tanzania,United Rep. of Tanzania,TZA,278322,39659,0,0,19024,
1005,2019,United Rep. of Tanzania,United Rep. of Tanzania,TZA,242171,32028,0,0,23861,
1006,2020,United Rep. of Tanzania,United Rep. of Tanzania,TZA,234645,28748,0,0,23920,
1007,2021,United Rep. of Tanzania,United Rep. of Tanzania,TZA,202635,27829,0,0,22566,
1008,2016,United States of America,United States of America,USA,272963,439864,0,0,0,
1009,2017,United States of America,United States of America,USA,287135,642719,0,0,0,
1010,2018,United States of America,United States of America,USA,313242,718992,0,0,0,
1011,2019,United States of America,United States of America,USA,341715,847608,0,0,0,
1012,2020,United States of America,United States of America,USA,340846,997996,0,47,0,
1013,2021,United States of America,United States of America,USA,337870,1247223,0,47,0,
1014,2016,Uruguay,Uruguay,URY,299,352,0,0,0,1.689798164
1015,2017,Uruguay,Uruguay,URY,334,2089,0,0,6157,1.627753973
1016,2018,Uruguay,Uruguay,URY,379,6404,0,0,0,0.477907184
1017,2019,Uruguay,Uruguay,URY,498,13742,0,0,0,0.350447153
1018,2020,Uruguay,Uruguay,URY,664,10631,0,0,0,-5.858721243
1019,2021,Uruguay,Uruguay,URY,747,12070,0,5,0,
1020,2016,Uzbekistan,Uzbekistan,UZB,26,0,0,86524,0,5.9321508
1021,2017,Uzbekistan,Uzbekistan,UZB,20,0,0,85555,0,4.395274633
1022,2018,Uzbekistan,Uzbekistan,UZB,13,0,0,79942,0,5.354996888
1023,2019,Uzbekistan,Uzbekistan,UZB,13,0,0,97346,0,5.709632222
1024,2020,Uzbekistan,Uzbekistan,UZB,13,0,0,69791,0,1.714770576
1025,2021,Uzbekistan,Uzbekistan,UZB,13,0,0,59136,0,
1026,2021,Vanuatu,Vanuatu,VUT,0,5,0,0,0,
1027,2016,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,172047,900,0,0,0,
1028,2017,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,122804,904,0,0,0,
1029,2018,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,67283,142,0,0,0,
1030,2019,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,67749,49,0,0,494503,
1031,2020,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,68089,284,0,0,1112517,
1032,2021,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),VEN,68139,520,0,0,1018709,
1033,2016,Viet Nam,Viet Nam,VNM,0,0,0,11000,0,
1034,2017,Viet Nam,Viet Nam,VNM,0,0,0,29522,0,
1035,2018,Viet Nam,Viet Nam,VNM,0,0,0,34110,0,
1036,2019,Viet Nam,Viet Nam,VNM,0,0,0,30581,0,
1037,2020,Viet Nam,Viet Nam,VNM,0,0,0,32890,0,
1038,2021,Viet Nam,Viet Nam,VNM,0,0,0,30581,0,
1039,2016,Yemen,Yemen,YEM,269778,9088,2025060,0,10,
1040,2017,Yemen,Yemen,YEM,270913,9763,2014062,0,15,
1041,2018,Yemen,Yemen,YEM,264359,8805,2144719,0,10,
1042,2019,Yemen,Yemen,YEM,268503,11325,3625716,0,15,
1043,2020,Yemen,Yemen,YEM,166906,10693,4002012,0,15,
1044,2021,Yemen,Yemen,YEM,129001,11788,4042836,0,15,
1045,2016,Zambia,Zambia,ZMB,29338,3318,0,0,24540,3.776679146
1046,2017,Zambia,Zambia,ZMB,41266,4675,0,0,22394,3.504336096
1047,2018,Zambia,Zambia,ZMB,49877,3300,0,0,22842,4.034493897
1048,2019,Zambia,Zambia,ZMB,57518,5081,0,0,23275,1.441306026
1049,2020,Zambia,Zambia,ZMB,66070,4293,0,0,24203,-2.785055065
1050,2021,Zambia,Zambia,ZMB,70837,4579,0,0,24560,
1051,2016,Zimbabwe,Zimbabwe,ZWE,7423,948,0,0,1671,0
1052,2017,Zimbabwe,Zimbabwe,ZWE,7566,8392,0,0,2859,0
1053,2018,Zimbabwe,Zimbabwe,ZWE,7795,10207,0,0,853,0
1054,2019,Zimbabwe,Zimbabwe,ZWE,8956,11532,270000,0,957,0
1055,2020,Zimbabwe,Zimbabwe,ZWE,9261,11929,0,0,967,0
1056,2021,Zimbabwe,Zimbabwe,ZWE,9467,12101,0,0,985,
