,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern
0,2016,Afghanistan,AFG,59770,123,1797551,0,114221
175,2017,Afghanistan,AFG,75927,215,1837079,0,448032
349,2018,Afghanistan,AFG,72228,281,2106893,0,489854
525,2019,Afghanistan,AFG,72227,247,2553390,0,447093
701,2020,Afghanistan,AFG,72278,167,2886317,0,82595
878,2021,Afghanistan,AFG,72226,187,3204805,0,84742
1,2016,Albania,ALB,141,2750,0,4921,0
176,2017,Albania,ALB,124,32,0,4460,2719
350,2018,Albania,ALB,132,159,0,4160,76
526,2019,Albania,ALB,120,5,0,3687,153
702,2020,Albania,ALB,105,0,0,1031,10
879,2021,Albania,ALB,107,0,0,1528,1083
2,2016,Algeria,DZA,94220,5700,0,0,0
177,2017,Algeria,DZA,94248,6353,0,0,0
351,2018,Algeria,DZA,94341,8910,0,0,0
527,2019,Algeria,DZA,98599,1725,0,0,0
703,2020,Algeria,DZA,97651,2124,0,0,0
880,2021,Algeria,DZA,97810,2282,0,0,0
3,2016,Angola,AGO,15547,30131,0,0,0
178,2017,Angola,AGO,41119,30131,0,0,0
352,2018,Angola,AGO,39856,30128,0,0,0
528,2019,Angola,AGO,25793,30178,0,0,61
704,2020,Angola,AGO,25791,30278,0,0,61
881,2021,Angola,AGO,25931,30282,0,0,198
529,2019,Anguilla,AIA,0,0,0,0,0
705,2020,Anguilla,AIA,0,0,0,0,0
882,2021,Anguilla,AIA,0,0,0,0,0
4,2016,Antigua and Barbuda,ATG,5,0,0,0,0
5,2016,Argentina,ARG,3267,3917,0,0,181
179,2017,Argentina,ARG,3332,4111,0,0,56969
353,2018,Argentina,ARG,3442,6102,0,0,410
530,2019,Argentina,ARG,3857,7992,0,0,443
706,2020,Argentina,ARG,3965,9176,0,0,448
883,2021,Argentina,ARG,4007,10354,0,0,448
6,2016,Armenia,ARM,17883,73,0,512,0
180,2017,Armenia,ARM,17968,62,0,773,0
354,2018,Armenia,ARM,17966,105,0,848,0
531,2019,Armenia,ARM,17980,158,0,961,0
707,2020,Armenia,ARM,107910,136,0,1000,0
884,2021,Armenia,ARM,45415,127,0,892,0
7,2016,Aruba,ABW,0,5,0,0,0
181,2017,Aruba,ABW,0,147,0,0,0
355,2018,Aruba,ABW,0,407,0,0,0
532,2019,Aruba,ABW,0,406,0,0,0
708,2020,Aruba,ABW,0,0,0,0,13
885,2021,Aruba,ABW,0,0,0,0,29
8,2016,Australia,AUS,42187,29633,0,0,0
182,2017,Australia,AUS,48480,48029,0,52,0
356,2018,Australia,AUS,56934,60645,0,132,0
533,2019,Australia,AUS,58529,77363,0,0,0
709,2020,Australia,AUS,57411,80801,0,5221,46
886,2021,Australia,AUS,56229,79819,0,5770,2022
9,2016,Austria,AUT,93242,76382,0,937,0
183,2017,Austria,AUT,115252,56279,0,1003,0
357,2018,Austria,AUT,128779,37347,0,1062,0
534,2019,Austria,AUT,135951,29656,0,1132,0
710,2020,Austria,AUT,141816,20710,0,3267,0
887,2021,Austria,AUT,146025,18308,0,3229,0
10,2016,Azerbaijan,AZE,1193,255,613129,3585,0
184,2017,Azerbaijan,AZE,1120,124,612785,3585,0
358,2018,Azerbaijan,AZE,1130,209,620423,3585,0
535,2019,Azerbaijan,AZE,1109,181,652326,3585,0
711,2020,Azerbaijan,AZE,1572,48,653921,3585,0
888,2021,Azerbaijan,AZE,1603,42,653921,3585,0
11,2016,Bahamas,BHS,9,17,0,0,0
185,2017,Bahamas,BHS,8,15,0,0,0
359,2018,Bahamas,BHS,14,24,0,0,0
536,2019,Bahamas,BHS,10,13,0,0,0
712,2020,Bahamas,BHS,15,13,0,0,0
889,2021,Bahamas,BHS,20,8,0,0,0
12,2016,Bahrain,BHR,270,111,0,0,0
186,2017,Bahrain,BHR,255,111,0,0,0
360,2018,Bahrain,BHR,262,58,0,0,0
537,2019,Bahrain,BHR,251,58,0,0,0
713,2020,Bahrain,BHR,256,104,0,0,0
890,2021,Bahrain,BHR,251,107,0,0,0
13,2016,Bangladesh,BGD,276203,0,0,0,0
187,2017,Bangladesh,BGD,932209,115,0,932204,0
361,2018,Bangladesh,BGD,906640,39,0,906635,0
538,2019,Bangladesh,BGD,854779,34,0,854704,0
714,2020,Bangladesh,BGD,866534,18,0,866457,472000
891,2021,Bangladesh,BGD,889775,27,0,889704,472000
362,2018,Barbados,BRB,0,5,0,0,0
539,2019,Barbados,BRB,0,10,0,0,0
715,2020,Barbados,BRB,0,5,0,0,0
892,2021,Barbados,BRB,0,5,0,0,0
14,2016,Belarus,BLR,1647,228,0,6182,0
188,2017,Belarus,BLR,2155,273,0,6007,0
363,2018,Belarus,BLR,2225,184,0,6025,0
540,2019,Belarus,BLR,2725,131,0,6466,0
716,2020,Belarus,BLR,2900,143,0,6297,0
893,2021,Belarus,BLR,2924,136,0,6104,0
15,2016,Belgium,BEL,42158,24098,0,2630,0
189,2017,Belgium,BEL,42158,18760,0,7695,0
364,2018,Belgium,BEL,42158,19550,0,7695,0
541,2019,Belgium,BEL,61662,10862,0,10933,0
717,2020,Belgium,BEL,64973,29305,0,1264,940
894,2021,Belgium,BEL,65906,22516,0,1159,854
16,2016,Belize,BLZ,0,2427,0,0,1709
190,2017,Belize,BLZ,0,3120,0,0,2774
365,2018,Belize,BLZ,29,3305,0,0,2774
542,2019,Belize,BLZ,29,2144,0,0,3390
718,2020,Belize,BLZ,29,2249,0,0,3390
895,2021,Belize,BLZ,65,2157,0,0,3500
17,2016,Benin,BEN,804,224,0,0,0
191,2017,Benin,BEN,1056,262,0,0,0
366,2018,Benin,BEN,1167,308,0,0,0
543,2019,Benin,BEN,1238,373,0,0,0
719,2020,Benin,BEN,1396,464,0,0,0
896,2021,Benin,BEN,1427,501,0,0,0
18,2016,Bolivia (Plurinational State of),BOL,776,0,0,0,0
192,2017,Bolivia (Plurinational State of),BOL,802,34,0,0,0
367,2018,Bolivia (Plurinational State of),BOL,802,34,0,0,0
544,2019,Bolivia (Plurinational State of),BOL,863,242,0,0,0
720,2020,Bolivia (Plurinational State of),BOL,1116,157,0,0,0
897,2021,Bolivia (Plurinational State of),BOL,1116,35,0,0,0
19,2016,Bosnia and Herzegovina,BIH,5266,51,98324,49,52437
193,2017,Bosnia and Herzegovina,BIH,5224,223,98574,65,48907
368,2018,Bosnia and Herzegovina,BIH,5227,1003,96830,90,48907
545,2019,Bosnia and Herzegovina,BIH,5241,725,96421,75,53728
721,2020,Bosnia and Herzegovina,BIH,5232,256,96305,66,7645
898,2021,Bosnia and Herzegovina,BIH,416,177,96305,149,3516
20,2016,Botswana,BWA,2090,78,0,0,660
194,2017,Botswana,BWA,2116,65,0,0,293
369,2018,Botswana,BWA,2044,268,0,0,6
546,2019,Botswana,BWA,1113,150,0,0,6
722,2020,Botswana,BWA,617,422,0,0,6
899,2021,Botswana,BWA,644,73,0,0,11
21,2016,Brazil,BRA,9674,35451,0,5,22930
195,2017,Brazil,BRA,10260,85739,0,294,52341
370,2018,Brazil,BRA,11304,152670,0,0,0
547,2019,Brazil,BRA,32844,207294,0,7,0
723,2020,Brazil,BRA,59092,202661,0,14,0
900,2021,Brazil,BRA,60848,206000,0,14,0
901,2021,British Virgin Islands,VGB,0,0,0,0,0
22,2016,Brunei Darussalam,BRN,0,0,0,20524,0
196,2017,Brunei Darussalam,BRN,0,0,0,20524,0
371,2018,Brunei Darussalam,BRN,0,0,0,20863,0
548,2019,Brunei Darussalam,BRN,0,0,0,20863,0
724,2020,Brunei Darussalam,BRN,0,0,0,20863,0
902,2021,Brunei Darussalam,BRN,0,0,0,20863,0
23,2016,Bulgaria,BGR,17794,16030,0,67,0
197,2017,Bulgaria,BGR,19166,2712,0,48,0
372,2018,Bulgaria,BGR,19906,1560,0,92,0
549,2019,Bulgaria,BGR,20438,2060,0,116,0
725,2020,Bulgaria,BGR,21113,1938,0,1141,0
903,2021,Bulgaria,BGR,21770,1691,0,1143,0
24,2016,Burkina Faso,BFA,32551,126,0,0,0
198,2017,Burkina Faso,BFA,24152,43,2350,0,0
373,2018,Burkina Faso,BFA,25120,40,47030,0,0
550,2019,Burkina Faso,BFA,25869,29,560033,0,0
726,2020,Burkina Faso,BFA,20252,30,1074993,0,0
904,2021,Burkina Faso,BFA,22291,29,1312071,0,0
25,2016,Burundi,BDI,57462,3608,141221,974,649
199,2017,Burundi,BDI,62353,3551,57258,974,772
374,2018,Burundi,BDI,71501,5658,31909,974,787
551,2019,Burundi,BDI,78465,9090,33256,974,1904
727,2020,Burundi,BDI,75461,4914,21863,974,1977
905,2021,Burundi,BDI,76837,4929,19399,767,2179
26,2016,Cabo Verde,CPV,0,0,0,115,0
200,2017,Cabo Verde,CPV,0,0,0,115,0
375,2018,Cabo Verde,CPV,0,0,0,115,0
552,2019,Cabo Verde,CPV,0,0,0,115,0
728,2020,Cabo Verde,CPV,0,0,0,115,0
906,2021,Cabo Verde,CPV,0,0,0,115,0
27,2016,Cambodia,KHM,61,170,0,0,0
201,2017,Cambodia,KHM,61,44,0,0,0
376,2018,Cambodia,KHM,0,0,0,57444,0
553,2019,Cambodia,KHM,0,27,0,57444,0
729,2020,Cambodia,KHM,0,12,0,57444,0
907,2021,Cambodia,KHM,32,66,0,57444,0
28,2016,Cameroon,CMR,375413,3237,198889,0,28
202,2017,Cameroon,CMR,337382,5765,221695,0,38
377,2018,Cameroon,CMR,380327,8092,668494,0,25
554,2019,Cameroon,CMR,406259,10065,950263,0,20
730,2020,Cameroon,CMR,436396,6809,1032942,0,215
908,2021,Cameroon,CMR,446101,6059,1032942,0,1245
29,2016,Canada,CAN,97322,23946,0,0,0
203,2017,Canada,CAN,104768,51859,0,3790,0
378,2018,Canada,CAN,114101,78766,0,3790,0
555,2019,Canada,CAN,101757,97701,0,3790,0
731,2020,Canada,CAN,109214,85352,0,4139,0
909,2021,Canada,CAN,125427,73198,0,3823,0
30,2016,Cayman Islands,CYM,18,24,0,0,0
204,2017,Cayman Islands,CYM,29,28,0,0,0
379,2018,Cayman Islands,CYM,34,27,0,0,0
556,2019,Cayman Islands,CYM,34,14,0,0,0
732,2020,Cayman Islands,CYM,38,28,0,0,0
910,2021,Cayman Islands,CYM,43,30,0,0,0
31,2016,Central African Rep.,CAF,12117,310,411785,0,0
205,2017,Central African Rep.,CAF,10033,571,688700,0,0
380,2018,Central African Rep.,CAF,6652,397,640970,0,0
557,2019,Central African Rep.,CAF,7170,309,669906,0,0
733,2020,Central African Rep.,CAF,9083,285,681930,0,0
911,2021,Central African Rep.,CAF,9174,293,716678,0,0
32,2016,Chad,TCD,391235,1908,124342,0,36718
206,2017,Chad,TCD,411475,660,99983,0,99103
381,2018,Chad,TCD,451203,3467,165314,0,36718
558,2019,Chad,TCD,442670,3756,170278,0,122359
734,2020,Chad,TCD,478649,4568,336124,0,99765
912,2021,Chad,TCD,508304,4548,401511,0,107810
33,2016,Chile,CHL,1730,3218,0,0,0
207,2017,Chile,CHL,1861,8462,0,0,86687
382,2018,Chile,CHL,2026,11993,0,0,1989
559,2019,Chile,CHL,2046,8521,0,0,2073
735,2020,Chile,CHL,2053,8069,0,0,1866
913,2021,Chile,CHL,2060,6451,0,0,1881
34,2016,China,CHN,317254,647,0,0,0
208,2017,China,CHN,321714,691,0,0,0
383,2018,China,CHN,321758,583,0,0,0
560,2019,China,CHN,303379,644,0,0,0
736,2020,China,CHN,303405,743,0,0,0
914,2021,China,CHN,303430,704,0,0,0
35,2016,"China, Hong Kong SAR",HKG,91,0,0,0,0
209,2017,"China, Hong Kong SAR",HKG,85,5,0,0,0
384,2018,"China, Hong Kong SAR",HKG,128,0,0,0,0
561,2019,"China, Hong Kong SAR",HKG,128,0,0,0,0
737,2020,"China, Hong Kong SAR",HKG,241,0,0,0,0
915,2021,"China, Hong Kong SAR",HKG,265,0,0,0,0
36,2016,"China, Macao SAR",MAC,0,5,0,0,0
210,2017,"China, Macao SAR",MAC,0,5,0,0,0
37,2016,Colombia,COL,241,368,7410816,11,0
211,2017,Colombia,COL,260,525,7677609,11,68734
385,2018,Colombia,COL,294,2851,7816473,11,0
562,2019,Colombia,COL,634,9094,7976412,11,400000
738,2020,Colombia,COL,957,19933,8252788,11,1241889
916,2021,Colombia,COL,964,30599,8143758,11,1287450
38,2016,Congo,COG,46454,6672,15303,0,3155
212,2017,Congo,COG,48509,7092,107828,0,3862
386,2018,Congo,COG,37491,9176,138000,0,12399
563,2019,Congo,COG,25668,14417,134430,0,11770
739,2020,Congo,COG,27097,13622,134430,0,11920
917,2021,Congo,COG,38421,13651,134430,0,10098
39,2016,Costa Rica,CRI,4162,3626,0,127,0
213,2017,Costa Rica,CRI,4479,7428,0,71,0
387,2018,Costa Rica,CRI,4531,32595,0,82,40
564,2019,Costa Rica,CRI,6204,87470,0,231,69
740,2020,Costa Rica,CRI,9593,89744,0,199,0
918,2021,Costa Rica,CRI,9976,95275,0,205,72
40,2016,Cote d'Ivoire,CIV,1397,276,0,694000,118
214,2017,Cote d'Ivoire,CIV,1559,368,0,692000,165
388,2018,Cote d'Ivoire,CIV,1808,198,0,692000,104
565,2019,Cote d'Ivoire,CIV,2020,151,0,955399,65
741,2020,Cote d'Ivoire,CIV,2086,224,5394,954531,50
919,2021,Cote d'Ivoire,CIV,2119,223,0,952969,50
41,2016,Croatia,HRV,300,529,0,2873,14518
215,2017,Croatia,HRV,508,406,0,2873,8019
389,2018,Croatia,HRV,787,198,0,2886,4376
566,2019,Croatia,HRV,916,454,0,2886,4027
742,2020,Croatia,HRV,956,567,0,2898,2520
920,2021,Croatia,HRV,965,583,0,2910,1231
42,2016,Cuba,CUB,312,28,0,0,0
216,2017,Cuba,CUB,343,15,0,0,0
390,2018,Cuba,CUB,287,24,0,0,0
567,2019,Cuba,CUB,233,32,0,0,0
743,2020,Cuba,CUB,222,10,0,0,0
921,2021,Cuba,CUB,207,5,0,0,0
43,2016,Curacao ,CUW,53,55,0,0,0
217,2017,Curacao ,CUW,74,729,0,0,0
391,2018,Curacao ,CUW,99,342,0,0,0
568,2019,Curacao ,CUW,42,345,0,0,0
744,2020,Curacao ,CUW,68,318,0,0,0
922,2021,Curacao ,CUW,67,318,0,0,0
44,2016,Cyprus,CYP,8478,3049,0,0,6000
218,2017,Cyprus,CYP,9790,5216,0,0,6000
392,2018,Cyprus,CYP,11002,10267,0,0,6000
569,2019,Cyprus,CYP,12311,18799,0,0,4000
745,2020,Cyprus,CYP,13997,20483,0,56,4000
923,2021,Cyprus,CYP,15141,21919,0,66,4000
45,2016,Czechia,CZE,3640,769,0,1502,0
219,2017,Czechia,CZE,3640,799,0,1502,0
393,2018,Czechia,CZE,2186,1910,0,1502,0
570,2019,Czechia,CZE,2054,1632,0,1394,413
746,2020,Czechia,CZE,1919,1537,0,1492,1502
924,2021,Czechia,CZE,2052,1014,0,1498,1436
46,2016,Dem. Rep. of the Congo,COD,451957,1324,2232900,0,0
220,2017,Dem. Rep. of the Congo,COD,537089,807,4351376,0,0
394,2018,Dem. Rep. of the Congo,COD,529065,5770,4516866,0,0
571,2019,Dem. Rep. of the Congo,COD,523733,3192,5014253,0,0
747,2020,Dem. Rep. of the Congo,COD,490243,1480,5198131,0,0
925,2021,Dem. Rep. of the Congo,COD,519819,16595,5094035,0,0
47,2016,Denmark,DNK,33501,7001,0,7610,0
221,2017,Denmark,DNK,35668,4229,0,7990,0
395,2018,Denmark,DNK,36623,2675,0,8236,0
572,2019,Denmark,DNK,37533,1462,0,8672,0
748,2020,Denmark,DNK,36643,1331,0,11655,0
926,2021,Denmark,DNK,36431,844,0,11608,0
48,2016,Djibouti,DJI,17683,8058,0,0,117
222,2017,Djibouti,DJI,17553,9357,0,0,88
396,2018,Djibouti,DJI,18293,10479,0,0,0
573,2019,Djibouti,DJI,19639,11224,0,0,0
749,2020,Djibouti,DJI,21193,10811,0,0,1301
927,2021,Djibouti,DJI,22123,11441,0,0,1301
49,2016,Dominican Rep.,DOM,593,787,0,0,0
223,2017,Dominican Rep.,DOM,594,850,0,0,0
397,2018,Dominican Rep.,DOM,164,327,0,0,0
574,2019,Dominican Rep.,DOM,164,561,0,0,0
750,2020,Dominican Rep.,DOM,162,625,0,0,0
928,2021,Dominican Rep.,DOM,162,642,0,0,0
50,2016,Ecuador,ECU,102848,24542,0,0,0
224,2017,Ecuador,ECU,92405,11895,0,0,41000
398,2018,Ecuador,ECU,101550,17044,0,0,0
575,2019,Ecuador,ECU,104560,25002,0,0,0
751,2020,Ecuador,ECU,104582,26001,0,0,0
929,2021,Ecuador,ECU,55424,6565,0,0,0
51,2016,Egypt,EGY,213515,49844,0,19,0
225,2017,Egypt,EGY,232647,56557,0,0,0
399,2018,Egypt,EGY,246746,68168,0,5,0
576,2019,Egypt,EGY,258391,69842,0,5,0
752,2020,Egypt,EGY,272826,56446,0,7,0
930,2021,Egypt,EGY,277665,57320,0,7,0
52,2016,El Salvador,SLV,41,0,0,0,9800
226,2017,El Salvador,SLV,40,5,71500,0,4200
400,2018,El Salvador,SLV,44,16,71501,0,4700
577,2019,El Salvador,SLV,48,29,71500,0,6800
753,2020,El Salvador,SLV,48,53,71500,0,1700
931,2021,El Salvador,SLV,32,67,71500,0,290
53,2016,Eritrea,ERI,2342,8,0,0,16
227,2017,Eritrea,ERI,2392,0,0,0,19
401,2018,Eritrea,ERI,2252,0,0,0,21
578,2019,Eritrea,ERI,199,0,0,0,17
754,2020,Eritrea,ERI,201,0,0,0,17
932,2021,Eritrea,ERI,121,0,0,0,17
54,2016,Estonia,EST,312,43,0,82585,0
228,2017,Estonia,EST,405,36,0,80314,0
402,2018,Estonia,EST,319,30,0,77877,0
579,2019,Estonia,EST,331,33,0,75599,0
755,2020,Estonia,EST,277,5,0,73215,0
933,2021,Estonia,EST,288,15,0,71873,0
55,2016,Eswatini,SWZ,725,377,0,0,0
229,2017,Eswatini,SWZ,790,544,0,0,0
403,2018,Eswatini,SWZ,874,739,0,0,0
580,2019,Eswatini,SWZ,940,963,0,0,0
756,2020,Eswatini,SWZ,945,1104,0,0,0
934,2021,Eswatini,SWZ,987,1151,0,0,0
56,2016,Ethiopia,ETH,791631,1948,0,0,535
230,2017,Ethiopia,ETH,889412,2593,1078429,0,528
404,2018,Ethiopia,ETH,903226,2136,2615800,0,452
581,2019,Ethiopia,ETH,733123,1677,1733628,0,392
757,2020,Ethiopia,ETH,800454,1901,2733628,0,454
935,2021,Ethiopia,ETH,782896,2110,3954760,0,460
57,2016,Fiji,FJI,7,0,0,0,0
231,2017,Fiji,FJI,7,10,0,0,0
405,2018,Fiji,FJI,0,17,0,0,0
582,2019,Fiji,FJI,12,10,0,0,0
758,2020,Fiji,FJI,14,5,0,0,0
936,2021,Fiji,FJI,13,5,0,0,0
58,2016,Finland,FIN,18402,5559,0,2671,0
232,2017,Finland,FIN,20793,3101,0,2749,0
406,2018,Finland,FIN,22287,3264,0,2759,0
583,2019,Finland,FIN,23458,8719,0,2801,0
759,2020,Finland,FIN,23428,6316,0,3428,0
937,2021,Finland,FIN,23746,5308,0,3416,0
59,2016,France,FRA,304527,62764,0,1370,0
233,2017,France,FRA,337158,63115,0,1425,0
